# CREATED BY GENE DIAGNOSTICS TOOL on Wed Aug  1 11:48:41 2018
# diag: fluxprof, run(s): act, time window: 0-500(79 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt1/
# normalization: L_ref=1.65m
#
#  x/a        G_es,p      Q_es,p      Q*dVdx/MW 
  5.4299E+00 -3.2273E-19  4.6076E-01  2.4709E-01
  6.1086E+00 -4.0863E-19  4.6179E-01  2.4764E-01
  6.7873E+00  1.8111E-19  4.5940E-01  2.4636E-01
  7.4660E+00  2.8999E-19  4.5296E-01  2.4291E-01
  8.1448E+00  1.3141E-19  4.4428E-01  2.3825E-01
  8.8235E+00 -2.0589E-19  4.3611E-01  2.3387E-01
  9.5022E+00 -5.0810E-20  4.2975E-01  2.3046E-01
  1.0181E+01 -1.9576E-19  4.2571E-01  2.2829E-01
  1.0860E+01 -2.2633E-19  4.2212E-01  2.2637E-01
  1.1538E+01 -2.2975E-20  4.1779E-01  2.2405E-01
  1.2217E+01  4.9243E-20  4.1245E-01  2.2118E-01
  1.2896E+01  3.8897E-20  4.0960E-01  2.1965E-01
  1.3575E+01  1.0947E-19  4.1171E-01  2.2079E-01
  1.4253E+01 -1.4743E-19  4.1803E-01  2.2417E-01
  1.4932E+01 -1.9876E-19  4.2601E-01  2.2846E-01
  1.5611E+01 -2.6471E-19  4.3409E-01  2.3279E-01
  1.6290E+01 -2.9660E-20  4.4228E-01  2.3718E-01
  1.6968E+01 -2.6133E-19  4.5260E-01  2.4272E-01
  1.7647E+01 -1.2247E-19  4.6658E-01  2.5021E-01
  1.8326E+01 -5.6569E-19  4.8467E-01  2.5991E-01
  1.9004E+01 -3.5049E-19  5.0633E-01  2.7153E-01
  1.9683E+01 -4.5141E-19  5.2761E-01  2.8294E-01
  2.0362E+01  2.8507E-19  5.4244E-01  2.9089E-01
  2.1041E+01 -9.2385E-20  5.4753E-01  2.9362E-01
  2.1719E+01  4.3475E-19  5.4240E-01  2.9087E-01
  2.2398E+01  6.9761E-20  5.3035E-01  2.8441E-01
  2.3077E+01  7.3877E-20  5.1675E-01  2.7712E-01
  2.3756E+01 -4.1416E-20  5.0639E-01  2.7156E-01
  2.4434E+01  3.7759E-19  5.0195E-01  2.6918E-01
  2.5113E+01  1.4110E-19  5.0307E-01  2.6978E-01
  2.5792E+01 -6.8315E-20  5.0725E-01  2.7202E-01
  2.6471E+01  2.7710E-19  5.1060E-01  2.7382E-01
  2.7149E+01  1.1197E-19  5.0926E-01  2.7310E-01
  2.7828E+01 -1.8617E-19  5.0297E-01  2.6973E-01
  2.8507E+01 -1.2701E-19  4.9333E-01  2.6456E-01
  2.9185E+01 -3.3359E-20  4.8296E-01  2.5900E-01
  2.9864E+01  9.0927E-20  4.7409E-01  2.5424E-01
  3.0543E+01  1.9086E-19  4.6756E-01  2.5074E-01
  3.1222E+01  1.5182E-19  4.6288E-01  2.4823E-01
  3.1900E+01  2.0682E-19  4.5841E-01  2.4583E-01
  3.2579E+01  2.9507E-19  4.5345E-01  2.4317E-01
  3.3258E+01  2.3365E-19  4.4881E-01  2.4068E-01
  3.3937E+01  5.9257E-19  4.4696E-01  2.3969E-01
  3.4615E+01  3.9006E-19  4.4942E-01  2.4101E-01
  3.5294E+01  4.1156E-19  4.5482E-01  2.4391E-01
  3.5973E+01  5.3849E-19  4.6339E-01  2.4850E-01
  3.6652E+01  4.5328E-19  4.7442E-01  2.5442E-01
  3.7330E+01  4.4726E-19  4.8551E-01  2.6036E-01
  3.8009E+01  5.7316E-20  4.9371E-01  2.6476E-01
  3.8688E+01  1.1250E-19  4.9775E-01  2.6693E-01
  3.9366E+01 -5.5733E-20  4.9572E-01  2.6584E-01
  4.0045E+01  7.5315E-20  4.8708E-01  2.6120E-01
  4.0724E+01  4.6027E-20  4.7372E-01  2.5404E-01
  4.1403E+01  1.4142E-19  4.5930E-01  2.4631E-01
  4.2081E+01 -6.2293E-20  4.4659E-01  2.3949E-01
  4.2760E+01  2.8344E-19  4.3721E-01  2.3446E-01
  4.3439E+01  2.5509E-19  4.3131E-01  2.3130E-01
  4.4118E+01  1.0883E-19  4.2828E-01  2.2967E-01
  4.4796E+01 -6.4427E-20  4.2880E-01  2.2995E-01
  4.5475E+01  1.0214E-19  4.3419E-01  2.3284E-01
  4.6154E+01  4.4599E-19  4.4414E-01  2.3818E-01
  4.6832E+01  1.2517E-20  4.5788E-01  2.4555E-01
  4.7511E+01 -4.2973E-20  4.7322E-01  2.5377E-01
  4.8190E+01 -3.0510E-19  4.8716E-01  2.6125E-01
  4.8869E+01  4.2460E-20  4.9582E-01  2.6589E-01
  4.9547E+01  1.9705E-19  4.9646E-01  2.6624E-01
  5.0226E+01  3.7821E-19  4.9008E-01  2.6281E-01
  5.0905E+01  4.2674E-19  4.7712E-01  2.5586E-01
  5.1584E+01 -2.8790E-20  4.5950E-01  2.4642E-01
  5.2262E+01  8.5412E-20  4.4137E-01  2.3669E-01
  5.2941E+01  5.3737E-20  4.2848E-01  2.2978E-01
  5.3620E+01  1.2381E-19  4.2327E-01  2.2699E-01
  5.4299E+01  1.1811E-19  4.2571E-01  2.2830E-01
  5.4977E+01  3.3564E-22  4.3257E-01  2.3197E-01
  5.5656E+01 -4.4911E-19  4.3914E-01  2.3549E-01
  5.6335E+01 -3.3591E-19  4.4090E-01  2.3644E-01
  5.7013E+01  1.8004E-19  4.3815E-01  2.3496E-01
  5.7692E+01  7.8401E-20  4.3496E-01  2.3326E-01
  5.8371E+01  2.3667E-19  4.3299E-01  2.3220E-01
  5.9050E+01  4.5358E-19  4.3286E-01  2.3213E-01
  5.9728E+01  5.0974E-19  4.3446E-01  2.3299E-01
  6.0407E+01  5.3497E-19  4.3856E-01  2.3519E-01
  6.1086E+01  2.1858E-19  4.4657E-01  2.3948E-01
  6.1765E+01  3.0919E-19  4.5777E-01  2.4549E-01
  6.2443E+01  3.1810E-19  4.6855E-01  2.5127E-01
  6.3122E+01  3.3734E-19  4.7714E-01  2.5588E-01
  6.3801E+01  4.7745E-19  4.8220E-01  2.5859E-01
  6.4480E+01 -2.3228E-19  4.8148E-01  2.5820E-01
  6.5158E+01  9.7979E-20  4.7460E-01  2.5451E-01
  6.5837E+01 -1.1770E-19  4.6317E-01  2.4838E-01
  6.6516E+01  3.4662E-20  4.4902E-01  2.4079E-01
