# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 11:29:31 2019
# diag: nrgsummary, run(s): 1, time window: 0-416.76757(1 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xhms05/ITGa_NL/omt3_P/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  1.9201E+01 -8.2804E-18  1.2302E+01  2.2379E-03
  1.9252E+01 -8.2176E-18  1.2254E+01 -1.2292E-03
  1.9303E+01 -1.3000E-17  1.2203E+01 -4.4197E-03
  1.9354E+01  6.8538E-18  1.2149E+01 -7.6339E-03
  1.9405E+01 -7.3251E-18  1.2098E+01 -1.1295E-02
  1.9456E+01 -1.3300E-17  1.2050E+01 -1.5132E-02
  1.9507E+01  1.7085E-17  1.2005E+01 -1.9603E-02
  1.9558E+01 -5.4537E-18  1.1960E+01 -2.4702E-02
  1.9608E+01 -5.0247E-18  1.1917E+01 -2.9411E-02
  1.9659E+01  1.0885E-17  1.1877E+01 -3.4660E-02
  1.9710E+01 -3.2088E-18  1.1839E+01 -3.8441E-02
  1.9761E+01 -1.0627E-17  1.1800E+01 -4.2274E-02
  1.9812E+01 -1.3179E-17  1.1760E+01 -4.6408E-02
  1.9863E+01 -9.3601E-18  1.1718E+01 -4.8784E-02
  1.9914E+01  2.6780E-17  1.1678E+01 -4.8955E-02
  1.9965E+01 -2.4900E-17  1.1641E+01 -4.8896E-02
  2.0016E+01  1.7998E-17  1.1605E+01 -4.9005E-02
  2.0067E+01  4.4708E-18  1.1572E+01 -4.9628E-02
  2.0118E+01 -1.1273E-17  1.1540E+01 -4.8773E-02
  2.0169E+01  3.7267E-18  1.1508E+01 -4.7694E-02
  2.0219E+01 -1.6673E-17  1.1475E+01 -4.8283E-02
  2.0270E+01 -2.3933E-17  1.1444E+01 -5.0661E-02
  2.0321E+01 -5.9113E-18  1.1416E+01 -5.3319E-02
  2.0372E+01 -1.8862E-17  1.1390E+01 -5.2717E-02
  2.0423E+01 -9.1246E-18  1.1364E+01 -4.8687E-02
  2.0474E+01  2.1452E-17  1.1337E+01 -4.4234E-02
  2.0525E+01 -1.1777E-17  1.1309E+01 -4.0919E-02
  2.0576E+01 -4.9524E-18  1.1280E+01 -3.8408E-02
  2.0627E+01 -2.0411E-18  1.1250E+01 -3.4950E-02
  2.0678E+01  8.4044E-18  1.1222E+01 -3.0817E-02
  2.0729E+01 -7.6849E-18  1.1197E+01 -2.9097E-02
  2.0781E+01 -1.2642E-17  1.1172E+01 -2.9661E-02
  2.0834E+01 -1.8272E-17  1.1145E+01 -2.9948E-02
  2.0888E+01 -1.1027E-17  1.1115E+01 -2.8058E-02
  2.0941E+01 -5.2689E-18  1.1083E+01 -2.5598E-02
  2.0995E+01 -2.0847E-17  1.1052E+01 -2.3852E-02
  2.1048E+01  1.7092E-18  1.1023E+01 -2.3360E-02
  2.1102E+01  5.1687E-18  1.0997E+01 -2.2301E-02
  2.1155E+01  1.1744E-17  1.0974E+01 -2.0505E-02
  2.1209E+01 -1.0266E-17  1.0955E+01 -1.8013E-02
  2.1262E+01 -6.6460E-18  1.0937E+01 -1.5262E-02
  2.1316E+01  1.7041E-18  1.0919E+01 -1.1968E-02
  2.1369E+01  6.9789E-19  1.0902E+01 -8.2356E-03
  2.1422E+01 -1.4456E-18  1.0885E+01 -5.7876E-03
  2.1478E+01  1.3923E-18  1.0866E+01 -4.9028E-03
  2.1534E+01  1.2523E-17  1.0845E+01 -3.0091E-03
  2.1590E+01  1.5004E-18  1.0822E+01 -2.0136E-04
  2.1646E+01  2.5978E-19  1.0798E+01  3.7906E-03
  2.1702E+01  5.9563E-18  1.0772E+01  7.3024E-03
  2.1758E+01 -6.2070E-18  1.0744E+01  9.9920E-03
  2.1815E+01 -1.6665E-17  1.0717E+01  1.3897E-02
  2.1871E+01 -1.6427E-18  1.0691E+01  2.0257E-02
  2.1927E+01 -8.3822E-18  1.0666E+01  2.4985E-02
  2.1983E+01  3.8640E-18  1.0641E+01  2.5634E-02
  2.2041E+01  1.5256E-18  1.0615E+01  2.3560E-02
  2.2100E+01  9.9275E-18  1.0590E+01  2.2076E-02
  2.2159E+01  2.3897E-17  1.0566E+01  2.2358E-02
  2.2218E+01  1.8589E-17  1.0545E+01  2.3185E-02
  2.2277E+01  1.5884E-18  1.0523E+01  2.5168E-02
  2.2336E+01 -7.0471E-18  1.0502E+01  2.6170E-02
  2.2395E+01 -8.4276E-18  1.0478E+01  2.5662E-02
  2.2454E+01  4.7857E-18  1.0454E+01  2.4552E-02
  2.2513E+01 -2.4963E-18  1.0432E+01  2.1855E-02
  2.2572E+01 -6.1567E-18  1.0411E+01  1.9336E-02
  2.2631E+01  6.7378E-18  1.0390E+01  1.7032E-02
  2.2690E+01 -6.1360E-18  1.0371E+01  1.5550E-02
  2.2748E+01 -8.0048E-18  1.0354E+01  1.5394E-02
  2.2809E+01  1.3653E-18  1.0337E+01  1.5139E-02
  2.2871E+01 -1.1689E-18  1.0319E+01  1.4319E-02
  2.2933E+01  3.5849E-18  1.0299E+01  1.2079E-02
  2.2995E+01  1.9120E-18  1.0279E+01  1.1540E-02
  2.3057E+01 -4.0699E-18  1.0260E+01  1.2722E-02
  2.3119E+01  1.6723E-17  1.0241E+01  1.4335E-02
  2.3181E+01 -1.6332E-18  1.0222E+01  1.4797E-02
  2.3242E+01  2.7814E-18  1.0203E+01  1.4286E-02
  2.3304E+01 -2.5307E-17  1.0185E+01  1.2930E-02
  2.3366E+01 -1.2978E-17  1.0168E+01  1.2536E-02
  2.3428E+01  5.5239E-19  1.0149E+01  1.4162E-02
  2.3490E+01  8.1243E-19  1.0129E+01  1.6914E-02
  2.3552E+01 -1.0164E-17  1.0108E+01  1.8181E-02
  2.3614E+01  1.2163E-18  1.0087E+01  1.6906E-02
  2.3677E+01  1.2109E-17  1.0065E+01  1.2972E-02
  2.3742E+01 -3.5589E-18  1.0044E+01  8.3932E-03
  2.3807E+01 -1.6953E-17  1.0022E+01  4.3831E-03
  2.3872E+01 -2.0681E-19  1.0002E+01  1.4345E-03
  2.3937E+01  4.3721E-18  9.9842E+00  5.9140E-04
  2.4002E+01  9.4120E-18  9.9661E+00  2.1120E-03
  2.4067E+01 -1.1303E-17  9.9489E+00  4.3454E-03
  2.4132E+01  1.4048E-18  9.9317E+00  5.6348E-03
  2.4197E+01 -4.9543E-18  9.9131E+00  6.0676E-03
  2.4262E+01 -9.2738E-18  9.8927E+00  5.8634E-03
  2.4328E+01 -8.6682E-18  9.8718E+00  5.5371E-03
  2.4396E+01  9.5600E-18  9.8501E+00  6.0886E-03
  2.4465E+01 -1.0482E-18  9.8292E+00  7.2206E-03
  2.4533E+01 -3.2271E-19  9.8097E+00  7.9322E-03
  2.4601E+01  7.5137E-18  9.7895E+00  9.9237E-03
  2.4669E+01 -1.2175E-19  9.7676E+00  1.2379E-02
  2.4738E+01 -1.9525E-18  9.7448E+00  1.4360E-02
  2.4806E+01 -2.5243E-18  9.7219E+00  1.7252E-02
  2.4874E+01 -1.3429E-18  9.6987E+00  1.9638E-02
  2.4942E+01  1.3715E-17  9.6761E+00  2.0530E-02
  2.5010E+01 -6.6320E-18  9.6533E+00  2.0899E-02
  2.5082E+01  1.0329E-17  9.6278E+00  2.2481E-02
  2.5154E+01  8.3623E-18  9.6001E+00  2.4592E-02
  2.5225E+01  1.9017E-18  9.5720E+00  2.6533E-02
  2.5297E+01 -3.5910E-18  9.5427E+00  2.8616E-02
  2.5369E+01  1.8256E-18  9.5110E+00  3.0053E-02
  2.5440E+01 -2.4449E-18  9.4781E+00  3.1052E-02
  2.5512E+01 -4.9118E-18  9.4443E+00  3.1347E-02
  2.5584E+01  2.8080E-18  9.4091E+00  3.1900E-02
  2.5655E+01  1.9720E-18  9.3722E+00  3.2356E-02
  2.5727E+01  9.6525E-18  9.3346E+00  3.3279E-02
  2.5799E+01 -3.7149E-18  9.2970E+00  3.4515E-02
  2.5870E+01  6.7767E-18  9.2615E+00  3.5636E-02
  2.5942E+01  6.5904E-18  9.2290E+00  3.7157E-02
  2.6016E+01  1.2836E-17  9.1987E+00  4.0904E-02
  2.6091E+01  4.1660E-18  9.1684E+00  4.5473E-02
  2.6166E+01  1.8568E-18  9.1378E+00  4.7754E-02
  2.6237E+01 -2.9788E-18  9.1093E+00  4.8385E-02
  2.6309E+01 -5.6078E-18  9.0810E+00  4.8893E-02
  2.6380E+01  7.0031E-18  9.0525E+00  5.0087E-02
  2.6451E+01  3.3863E-18  9.0238E+00  5.0131E-02
  2.6523E+01  1.7417E-18  8.9946E+00  4.9595E-02
  2.6594E+01  4.1082E-18  8.9657E+00  4.9680E-02
  2.6665E+01 -7.4396E-18  8.9375E+00  4.9525E-02
  2.6737E+01  8.3184E-18  8.9105E+00  4.9464E-02
  2.6808E+01 -8.4042E-19  8.8854E+00  4.9864E-02
  2.6879E+01 -9.1119E-19  8.8619E+00  4.9551E-02
  2.6950E+01  1.2043E-17  8.8406E+00  4.8269E-02
  2.7022E+01 -2.5189E-18  8.8209E+00  4.6831E-02
  2.7094E+01  4.8999E-18  8.8011E+00  4.6181E-02
  2.7169E+01  6.8204E-18  8.7801E+00  4.5328E-02
  2.7244E+01  2.6579E-18  8.7580E+00  4.4193E-02
  2.7319E+01  5.8672E-18  8.7357E+00  4.3310E-02
  2.7394E+01 -4.7883E-19  8.7147E+00  4.2148E-02
  2.7469E+01 -2.1658E-18  8.6952E+00  4.1145E-02
  2.7544E+01  3.1681E-18  8.6772E+00  3.9852E-02
  2.7618E+01 -8.1458E-18  8.6594E+00  3.8939E-02
  2.7693E+01 -4.0388E-18  8.6420E+00  3.8847E-02
  2.7768E+01 -5.6584E-18  8.6255E+00  3.9306E-02
  2.7843E+01  5.5738E-18  8.6093E+00  4.0372E-02
  2.7918E+01  2.9624E-18  8.5933E+00  4.1789E-02
  2.7993E+01 -7.1840E-18  8.5772E+00  4.3526E-02
  2.8068E+01  3.9253E-18  8.5617E+00  4.5769E-02
  2.8143E+01 -1.3374E-17  8.5471E+00  4.7672E-02
  2.8217E+01  3.9477E-18  8.5329E+00  4.8625E-02
  2.8292E+01 -2.9198E-18  8.5190E+00  4.8593E-02
  2.8367E+01  5.4784E-18  8.5047E+00  4.8509E-02
  2.8442E+01 -6.4460E-18  8.4909E+00  4.8382E-02
  2.8517E+01 -1.5162E-18  8.4767E+00  4.8098E-02
  2.8592E+01  3.0655E-18  8.4620E+00  4.7172E-02
  2.8667E+01  8.1411E-18  8.4469E+00  4.4193E-02
  2.8741E+01  1.2451E-18  8.4324E+00  3.9273E-02
  2.8816E+01 -3.3123E-18  8.4184E+00  3.4678E-02
  2.8893E+01  1.1583E-17  8.4045E+00  3.2327E-02
  2.8972E+01  1.4087E-17  8.3903E+00  3.2022E-02
  2.9050E+01  1.5085E-19  8.3760E+00  3.2687E-02
  2.9129E+01  7.0667E-19  8.3609E+00  3.3050E-02
  2.9208E+01  2.8968E-18  8.3463E+00  3.2324E-02
  2.9286E+01 -2.8778E-18  8.3331E+00  3.1525E-02
  2.9365E+01  1.0602E-17  8.3216E+00  3.1189E-02
  2.9443E+01  3.2706E-18  8.3113E+00  3.1191E-02
  2.9522E+01 -6.6431E-18  8.3013E+00  3.0535E-02
  2.9601E+01 -5.2793E-19  8.2915E+00  2.9660E-02
  2.9679E+01 -1.2277E-17  8.2815E+00  2.8757E-02
  2.9758E+01  6.2507E-18  8.2712E+00  2.8064E-02
  2.9836E+01 -6.8496E-18  8.2606E+00  2.7210E-02
  2.9915E+01  6.0932E-18  8.2500E+00  2.6285E-02
  2.9994E+01  5.9600E-18  8.2396E+00  2.5524E-02
  3.0072E+01 -7.1395E-18  8.2292E+00  2.4463E-02
  3.0151E+01 -1.9586E-18  8.2188E+00  2.3449E-02
  3.0230E+01  1.5386E-18  8.2080E+00  2.2191E-02
  3.0312E+01  7.5110E-18  8.1959E+00  1.9998E-02
  3.0395E+01  1.8766E-19  8.1836E+00  1.7470E-02
  3.0477E+01 -8.5470E-18  8.1711E+00  1.4442E-02
  3.0560E+01 -4.4016E-18  8.1587E+00  1.1561E-02
  3.0643E+01 -4.8749E-18  8.1460E+00  9.9814E-03
  3.0725E+01  3.4469E-18  8.1328E+00  9.1399E-03
  3.0808E+01 -5.5477E-19  8.1197E+00  8.3161E-03
  3.0890E+01 -2.6895E-18  8.1074E+00  7.8412E-03
  3.0973E+01  1.6027E-18  8.0952E+00  8.0023E-03
  3.1055E+01 -2.3657E-18  8.0833E+00  8.0719E-03
  3.1138E+01 -7.6910E-18  8.0719E+00  7.6727E-03
  3.1220E+01  8.5102E-18  8.0614E+00  6.9658E-03
  3.1303E+01 -3.3305E-19  8.0514E+00  6.2394E-03
  3.1385E+01  2.5238E-18  8.0416E+00  5.0876E-03
  3.1468E+01  2.3323E-18  8.0316E+00  2.6016E-03
  3.1550E+01 -4.1604E-18  8.0213E+00 -1.2537E-03
  3.1633E+01  3.4173E-18  8.0108E+00 -5.1145E-03
  3.1716E+01  1.2522E-19  7.9997E+00 -8.4596E-03
  3.1798E+01 -3.4686E-18  7.9884E+00 -1.0426E-02
  3.1881E+01 -2.6278E-18  7.9766E+00 -1.1397E-02
  3.1963E+01 -8.5350E-18  7.9651E+00 -1.2024E-02
  3.2046E+01  3.9208E-18  7.9542E+00 -1.2356E-02
  3.2128E+01 -5.4505E-18  7.9439E+00 -1.2933E-02
  3.2211E+01 -1.6199E-18  7.9341E+00 -1.4084E-02
  3.2293E+01  5.6223E-19  7.9249E+00 -1.5457E-02
  3.2376E+01 -1.6323E-18  7.9161E+00 -1.6722E-02
  3.2458E+01  6.7112E-18  7.9078E+00 -1.7950E-02
  3.2541E+01  9.7338E-19  7.8998E+00 -1.9081E-02
  3.2623E+01  2.2676E-18  7.8918E+00 -2.0267E-02
  3.2706E+01 -4.2227E-18  7.8841E+00 -2.1144E-02
  3.2789E+01 -4.7244E-19  7.8764E+00 -2.1940E-02
  3.2871E+01 -6.0305E-18  7.8685E+00 -2.3149E-02
  3.2954E+01 -5.6474E-18  7.8608E+00 -2.4004E-02
  3.3036E+01  1.1596E-18  7.8532E+00 -2.4326E-02
  3.3119E+01  8.6750E-19  7.8455E+00 -2.4334E-02
  3.3201E+01  5.7643E-18  7.8368E+00 -2.4647E-02
  3.3284E+01  5.9006E-19  7.8266E+00 -2.5912E-02
  3.3366E+01 -2.4601E-18  7.8151E+00 -2.8122E-02
  3.3449E+01 -9.2426E-18  7.8033E+00 -3.0824E-02
  3.3531E+01  9.5180E-19  7.7916E+00 -3.3637E-02
  3.3614E+01 -2.1944E-18  7.7803E+00 -3.6183E-02
  3.3696E+01  3.3616E-19  7.7692E+00 -3.9003E-02
  3.3779E+01 -7.4398E-18  7.7579E+00 -4.2252E-02
  3.3862E+01  7.0075E-18  7.7466E+00 -4.5009E-02
  3.3944E+01  3.7456E-18  7.7356E+00 -4.7085E-02
  3.4027E+01 -3.0044E-18  7.7254E+00 -4.8620E-02
  3.4109E+01 -6.0273E-18  7.7161E+00 -4.9774E-02
  3.4192E+01  4.0096E-20  7.7072E+00 -5.0827E-02
  3.4274E+01  1.1937E-18  7.6978E+00 -5.1607E-02
  3.4357E+01 -8.4786E-18  7.6878E+00 -5.1669E-02
  3.4439E+01 -3.6213E-18  7.6775E+00 -5.0298E-02
  3.4522E+01  6.1212E-20  7.6669E+00 -4.7535E-02
  3.4604E+01 -1.3478E-17  7.6562E+00 -4.4216E-02
  3.4687E+01  2.7441E-18  7.6454E+00 -4.1202E-02
  3.4769E+01 -1.2423E-18  7.6348E+00 -3.8942E-02
  3.4852E+01  3.5982E-19  7.6241E+00 -3.8038E-02
  3.4936E+01  1.3149E-18  7.6132E+00 -3.8291E-02
  3.5022E+01  3.8694E-19  7.6014E+00 -3.8588E-02
  3.5109E+01 -2.3277E-18  7.5894E+00 -3.8113E-02
  3.5196E+01  2.3012E-18  7.5779E+00 -3.7300E-02
  3.5282E+01 -3.4284E-18  7.5670E+00 -3.6464E-02
