# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:22:02 2019
# diag: fluxspectra, run(s): act, time window: 0-8.5(121 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# Q*dVdx =   9.4149E+01 MW
# G*dVdx =   1.5172E-09 MW/keV
# P*dVdx =   3.0207E+00 J
#  kx         G_es,p      Q_es,p      P_es,p    
  8.6256E+00  5.5217E-13  3.9766E-02  4.6279E-03
  8.6746E+00  2.5211E-11  3.9575E-02  6.5971E-03
  8.7236E+00 -1.5012E-11  3.5179E-02  8.2689E-03
  8.7726E+00  3.7023E-11  3.7735E-02  1.2324E-02
  8.8216E+00  5.8447E-11  3.7947E-02  1.7588E-02
  8.8706E+00  1.6757E-11  3.5381E-02  2.1818E-02
  8.9196E+00  1.4721E-10  3.4384E-02  1.7919E-02
  8.9686E+00 -1.9057E-11  3.5231E-02  2.1083E-02
  9.0176E+00  4.7045E-10  2.9192E-02  1.3387E-02
  9.0666E+00 -6.0858E-10  2.4202E-02  7.0639E-03
  9.1157E+00 -1.0161E-09  1.5876E-02 -2.1662E-03
  9.1647E+00 -1.9291E-10 -2.9681E-03 -3.3228E-03
  9.2137E+00 -2.3179E-10 -3.4709E-03 -3.3953E-03
  9.2627E+00 -5.3073E-10  2.3738E-03  2.0705E-03
  9.3117E+00  4.9313E-10 -7.8432E-03  1.0842E-02
  9.3607E+00 -1.0693E-11  9.7273E-03  1.5621E-04
  9.4097E+00  0.0000E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p      P_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02  4.9611E-10  3.5683E+01  1.1438E+00
  1.0000E-01 -1.7149E-10  6.8185E+01  4.7265E-01
  1.5000E-01  3.3787E-09  8.2710E+01  1.4215E+00
  2.0000E-01  2.0539E-09  7.4459E+01 -3.7971E-02
  2.5000E-01  4.5824E-10  8.3016E+01  7.6303E-02
  3.0000E-01  1.3959E-09  1.1595E+02  1.1699E+00
  3.5000E-01 -3.9513E-09  8.1082E+01 -7.1603E-01
  4.0000E-01  5.9770E-10  4.5867E+01 -1.2509E-01
  4.5000E-01  1.1987E-09  2.8405E+01 -3.8512E-01
  5.0000E-01  1.2533E-09  2.1613E+01 -1.6277E-01
  5.5000E-01  4.3048E-10  1.4612E+01 -2.2756E-01
  6.0000E-01 -1.2345E-09  1.0439E+01  1.5151E-02
  6.5000E-01  5.1722E-10  9.3723E+00 -9.9803E-02
  7.0000E-01  1.1851E-10  7.9813E+00 -2.4018E-02
  7.5000E-01  2.8130E-10  7.2170E+00 -6.7718E-02
  8.0000E-01 -5.7251E-10  6.7374E+00 -1.6018E-03
  8.5000E-01  1.7192E-10  6.4512E+00 -4.9157E-02
  9.0000E-01  3.3539E-10  6.1046E+00 -1.1050E-03
  9.5000E-01  4.7066E-10  5.6691E+00  7.7657E-03
  1.0000E+00 -1.4389E-10  5.0833E+00  1.2957E-02
  1.0500E+00 -2.1217E-10  4.4610E+00 -1.0434E-02
  1.1000E+00 -1.7594E-10  3.8321E+00 -2.6802E-03
  1.1500E+00 -3.0356E-10  3.2279E+00 -1.9004E-02
  1.2000E+00  1.5150E-10  2.7901E+00 -1.0320E-02
